owner,risk,status,next_bead,severity,due_milestone,rollback_impact,notes
platform-observability,replay_digest_divergence,done,ums-memory-uxf,high,phase3-hardening-2026w10,high,"Replay mismatch alerting rules shipped in docs/observability/phase3-personalization-alerts.rules.yml"
backend-runtime,missing_evidence_pointer,done,ums-memory-uxf,high,phase3-hardening-2026w10,medium,"Evidence-pointer guardrails validated in api tests and operational checklist"
safety-ops,policy_audit_incident_traceability,done,ums-memory-uxf,high,phase3-hardening-2026w10,high,"Policy audit export and incident checklist artifacts published"
scheduler-runtime,review_schedule_latency_regression,done,ums-memory-uxf,medium,phase3-hardening-2026w10,medium,"Latency gate artifacts present under docs/performance/phase3-review-scheduling-latency-gate.latest.*"
misconception-domain,chronology_conflict_compression,open,ums-memory-d6q.2.10.1,medium,phase3-post-hardening-2026w11,low,"Follow-up backlog item retained from runbook hardening list"
misconception-domain,severity_calibration_sweep,open,ums-memory-d6q.2.10.2,medium,phase3-post-hardening-2026w11,low,"Retained from runbook hardening list"
misconception-observability,anti_pattern_alert_tuning,open,ums-memory-d6q.2.10.3,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
curriculum-domain,recommendation_weight_drift_dashboard,open,ums-memory-d6q.3.10.1,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
curriculum-domain,stale_recommendation_regression_suite,open,ums-memory-d6q.3.10.2,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
curriculum-performance,mixed_cohort_load_pack,open,ums-memory-d6q.3.10.3,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
scheduler-domain,adaptive_active_limit_experiments,open,ums-memory-d6q.4.10.1,medium,phase3-post-hardening-2026w11,low,"Retained from runbook hardening list"
scheduler-domain,deterministic_archival_compaction,open,ums-memory-d6q.4.10.2,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
scheduler-observability,scheduler_jitter_dashboard,open,ums-memory-d6q.4.10.3,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
safety-domain,policy_contradiction_detector,open,ums-memory-d6q.5.10.1,high,phase3-post-hardening-2026w11,high,"Retained from runbook hardening list"
safety-domain,cross_space_abuse_throttling,open,ums-memory-d6q.5.10.2,high,phase3-post-hardening-2026w11,high,"Retained from runbook hardening list"
safety-domain,degraded_mode_recovery_validator,open,ums-memory-d6q.5.10.3,medium,phase3-post-hardening-2026w11,medium,"Retained from runbook hardening list"
